Script started on 2025-11-15 12:14:48+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
 1604127     1115     8700   99.93%           20       1544
  903750     1551     9231   99.83%           20       1559
  888479     1377     8981   99.85%           20       1573
  897524        0    10417  100.00%           20       1586
  917556      118    13691   99.99%           20       1605
  889659     1498     8522   99.83%           20       1619
  890644     1685     8707   99.81%           20       1634
  875384     1441     8466   99.84%           20       1648
  911103     1404     8040   99.85%           20       1662
  860701     1405     7869   99.84%           20       1675
  872399     1714     8113   99.80%           20       1689
  862524     3406     9935   99.61%           20       1717
  781963    36048    42107   95.59%           20       2000
 1043740    46829    21532   95.71%           20       1736
 1285974     1774     9012   99.86%           20       1751
 1282154     1321     8724   99.90%           20       1764
 1302040     1357     8928   99.90%           20       1777
 1287534     1334     9036   99.90%           20       1791
 1298333     1748     8642   99.87%           20       1805
 1287229     1693     9060   99.87%           20       1820
 1261111     1338     8779   99.89%           20       1833
 1267961     1296     8833   99.90%           20       1846
 1258777     1472     8707   99.88%           20       1860
 1247563     1422     8622   99.89%           20       1873
 1246472        0    10971  100.00%           20       1887
 1285515        0    10080  100.00%           20       1900
 1257307      868     9764   99.93%           20       1916
 1236051      464     9369   99.96%           20       1930
 1259166      642     8837   99.95%           20       1942
 1224521      965     9209   99.92%           20       1957
 1221021      899     9084   99.93%           20       1970
 1251439      944     8919   99.92%           20       1983
 1209111     1287     9184   99.89%           20       1997
 1196846     1099     8688   99.91%           20       2010
 1198892     1181     8688   99.90%           21       2024
 1209959     1395     8878   99.88%           21       2037
 1219649     1565    11572   99.87%           21       2055
 1232285     1654     8243   99.87%           21       2069
 1221693     1379     8372   99.89%           21       2082
 1194307     1333     8385   99.89%           21       2096
 1168117     4701    11822   99.60%           21       2135
 1089750    37822    44387   96.65%           21       2432
 1405751    63079    31967   95.71%           21       2224
 1508710    26845    33668   98.25%           21       2370
 1537538    25308    32337   98.38%           21       2441
 1503123    27883    34710   98.18%           21       2596
 1491962    26036    32887   98.28%           21       2672
 1533432    28309    35375   98.19%           21       2831
 1512559    25508    32317   98.34%           21       2903
  883280   169374    38569   83.91%           21       2280
 1252661    27840    21008   97.83%           21       2247
 1261502    16882    20115   98.68%           21       2364
 1233358    24329    19210   98.07%           21       2313
 1253490    12921    18827   98.98%           21       2412
 1250767    18785    13010   98.52%           21       2312
 1299079     2058     9234   99.84%           21       2328
 1274719     1200     8843   99.91%           21       2342
 1255862     1263     8914   99.90%           21       2355
 1275071     1368     8508   99.89%           21       2368
 1292869     1557    11574   99.88%           21       2385
 1265724     1383     8475   99.89%           21       2399
 1255426     1663     8554   99.87%           21       2413
 1241524     1308     8566   99.89%           21       2427
 1260910     1330     8329   99.89%           21       2439
 1226336     1684     8710   99.86%           21       2454
 1234464     1594     8728   99.87%           21       2469
 1230913     1583     8866   99.87%           21       2483
 1237361     1507     8504   99.88%           21       2496
 1245309     1315     8432   99.89%           21       2510
 1210435     1421     8545   99.88%           21       2523
 1205526     1327     8458   99.89%           21       2536
 1117939    33398    40071   97.10%           21       2798
 1200178    48579    26777   96.11%           21       2560
 1533970     3694     9665   99.76%           21       2584
 1528872     1321     8778   99.91%           21       2597
 1446306        0    10552  100.00%           21       2609
 1445058      193     9810   99.99%           21       2623
 1424195      238     9579   99.98%           21       2636
 1469619      454     9448   99.97%           21       2649
 1428313      679     9467   99.95%           21       2661
 1434867     1375     9388   99.90%           21       2677
 1423754      870     9147   99.94%           21       2690
 1448532     1028     9228   99.93%           21       2703
 1417236     1240     9129   99.91%           21       2717
 1403734     1114     8708   99.92%           21       2730
 1411230     1102     9060   99.92%           21       2743
 1424847     1399     9000   99.90%           21       2757
 1395360     1206     8682   99.91%           21       2769
 1418111     1215     8700   99.91%           21       2782
 1406587     1622    12056   99.88%           21       2800
 1401795     1411     8680   99.90%           21       2813
 1390509     1579     8563   99.89%           21       2827
 1365778     1302     8410   99.90%           21       2840
 1381835     1259     8456   99.91%           21       2853
 1403202     1360     9029   99.90%           21       2866
 1355160     1698     8503   99.87%           21       2880
 1374244     1631     8536   99.88%           21       2895
 1361368     1400     8856   99.90%           21       2908
 1414249     1378     8788   99.90%           21       2922
 1369713     1308     8754   99.90%           21       2934
 1351380     3894    10920   99.71%           21       2967
 1265837    35207    42345   97.29%           21       3245
 1410452    64487    33727   95.63%           21       3050
 1612204    27860    35341   98.30%           21       3205
 1574492    26705    33563   98.33%           21       3287
 1614860    29206    35830   98.22%           21       3450
 1583012    26790    33663   98.34%           21       3532
 1612432    27469    34741   98.32%           21       3685
 1588596    27894    34692   98.27%           21       3776
 1589423    26778    33539   98.34%           21       3856
  865533   181463    36932   82.67%           21       3022
 1290864    49972    23787   96.27%           21       3074
 1431329    22828    23443   98.43%           22       3216
 1382188    24450    18642   98.26%           22       3161
 1400250    14335    19068   98.99%           22       3267
 1388908    25740    19261   98.18%           22       3219
 1397517    12386    18215   99.12%           22       3313
 1357527    26952    19906   98.05%           22       3271
 1399151    18583    16654   98.69%           22       3186
 1446640     7787     9663   99.46%           22       3227
 1396677     1542     8909   99.89%           22       3240
 1389819     1304     8651   99.91%           22       3253
 1377829     1276     8574   99.91%           22       3266
 1416636     1328     8925   99.91%           22       3279
 1372633     1309     8800   99.90%           22       3292
 1378202     1573     8707   99.89%           22       3306
 1373279     1751     8838   99.87%           22       3321
 1369311     1358     8784   99.90%           22       3334
 1412711     1327     8530   99.91%           22       3347
 1352216     1371     8719   99.90%           22       3360
 1351054     1564     8849   99.88%           22       3374
 1354692        0    10326  100.00%           22       3387
 1298422    26155    36225   98.03%           22       3607
 1162590    47790    34237   96.05%           22       3395
 1606097     6796    11728   99.58%           22       3435
 1615651     1229     8923   99.92%           22       3448
 1664733      998     8972   99.94%           22       3461
 1625921     1052     8898   99.94%           22       3473
 1665445     1499    12061   99.91%           22       3491
 1650978     1413     8776   99.91%           22       3504
 1615747     1530     8296   99.91%           22       3517
 1618284     1310     8724   99.92%           22       3531
 1623570     1242     8675   99.92%           22       3543
 1622284     1250     8440   99.92%           22       3555
 1602364     1594     8703   99.90%           22       3569
 1604634     1747     8803   99.89%           22       3584
 1630129      332     9904   99.98%           22       3597
 1593568      514     8975   99.97%           22       3610
 1593397      750     8819   99.95%           22       3623
 1606226      992     8896   99.94%           22       3636
 1595566      909     8784   99.94%           22       3648
 1579866     1039     9047   99.93%           22       3661
 1599234     1055     8857   99.93%           22       3673
 1546687     1104     8641   99.93%           22       3686
 1565637     1144     8845   99.93%           22       3698
 1596811     1479     9087   99.91%           22       3712
 1547811     1477     8789   99.90%           22       3726
 1533253     1384     8773   99.91%           22       3739
 1598103     1228     8780   99.92%           22       3752
 1541827     1207     8597   99.92%           22       3764
 1534967     1515     8820   99.90%           22       3778
 1579730     1306     8957   99.92%           22       3791
 1536849     1257     8738   99.92%           22       3804
 1439812    36607    43033   97.52%           22       4090
 1508285    65884    35587   95.81%           22       3903
 1755176    28968    35989   98.38%           22       4066
 1712918    27518    34460   98.42%           22       4154
 1746539    28015    35396   98.42%           22       4311
 1714425    27239    33807   98.44%           22       4395
 1761668    26654    33921   98.51%           22       4542
 1721427    28368    35317   98.38%           22       4635
 1733282    27482    37631   98.44%           22       4726
  998990   179788    37660   84.75%           22       3881
 1492517    51400    24760   96.67%           22       3940
 1535534    21650    20229   98.61%           22       4075
 1598537    11462    17927   99.29%           22       4099
 1565203    11778    18827   99.25%           22       4192
 1495886    39460    20960   97.43%           22       4071
 1594190    14707    18294   99.09%           22       4084
 1532387    26128    20203   98.32%           22       4129
 1510393    21291    18843   98.61%           22       4062
 1555747    17912    20052   98.86%           22       4181
 1504523    18302    13829   98.80%           22       4083
 1559905     4815     9302   99.69%           22       4110
 1554411     1458     8710   99.91%           22       4124
 1535920     1286     8645   99.92%           22       4137
 1532215     1469     8406   99.90%           22       4150
 1570499     1266     8732   99.92%           22       4162
 1537264     1213     8394   99.92%           22       4175
 1545892     1654    11999   99.89%           22       4192
 1569800     1433     8569   99.91%           22       4205
 1524365     1518     8270   99.90%           22       4219
 1509384     1310     8503   99.91%           22       4232
 1547388     1272     8699   99.92%           22       4245
 1527426     1246     8579   99.92%           22       4257
 1379098    32887    39322   97.67%           22       4515
 1447506    48090    27733   96.78%           22       4275
 1759570     5074    10533   99.71%           22       4306
 1823289     1279     8520   99.93%           22       4318
 1802755     1232     8537   99.93%           23       4330
 1722990     1246     8981   99.93%           23       4343
 1608820     1531     8500   99.90%           23       4356
 1613785     1452     8438   99.91%           23       4370
 1646286     1472     9017   99.91%           23       4383
 1584216     1282     8860   99.92%           23       4396
 1601187     1226     8310   99.92%           23       4408
 1604603     1503     8836   99.91%           23       4421
 1567832     1305     8733   99.92%           23       4434
 1588540     1239     8511   99.92%           23       4446
 1652263     1540     8886   99.91%           23       4460
 1587610     1721     8869   99.89%           23       4475
 1592122     1287     8848   99.92%           23       4488
 1567615     1218     8664   99.92%           23       4500
 1546678        0    10837  100.00%           23       4513
 1590293        0    10185  100.00%           23       4525
 1562917        0     9762  100.00%           23       4538
 1537375      286     9682   99.98%           23       4551
 1579956      427     9811   99.97%           23       4564
 1574271      574     9057   99.96%           23       4576
 1563822     1202    12578   99.92%           23       4593
 1570954     1379     8566   99.91%           23       4607
 1539737     1518     8293   99.90%           23       4621
 1533096     1285     8503   99.92%           23       4633
 1563042     1254     8383   99.92%           23       4645
 1537376     1232     8334   99.92%           23       4657
 1533645     1520     8887   99.90%           23       4671
 1483082    24908    31696   98.35%           23       4865
 1405344    68392    38485   95.36%           23       4765
 1746170    27081    33165   98.47%           23       4846
 1703454    28500    35575   98.35%           23       5006
 1664686    25955    32984   98.46%           23       5084
 1701313    28766    35942   98.34%           23       5246
 1672356    27469    34323   98.38%           23       5333
 1696661    27938    37552   98.38%           23       5435
 1672583    27769    36978   98.37%           23       5599
 1117527   135615    39675   89.18%           23       4544
 1278662    80729    31587   94.06%           23       4923
 1523390    19691    20101   98.72%           23       4982
 1542130    11951    18054   99.23%           23       5010
 1557790    11531    18455   99.27%           23       5101
 1574830    10897    20856   99.31%           23       5128
 1517755    11464    18381   99.25%           23       5219
 1406610    66947    22776   95.46%           23       4949
 1466867    18377    18763   98.76%           23       5001
 1478425    12328    18625   99.17%           23       5097
 1512174    10987    18094   99.28%           23       5119
 1475188    11182    18292   99.25%           23       5210
 1375035    47611    22157   96.65%           23       4992
 1481882    21657    20007   98.56%           23       5127
 1415305    11791    17690   99.17%           23       5152
 1453164    22428    18946   98.48%           23       4960
 1399693    29683    20611   97.92%           23       5125
 1423411    12652    17812   99.12%           23       5154
 1452776    11276    18258   99.23%           23       5244
 1420598    10391    17219   99.27%           23       5262
 1428905    11466    18595   99.20%           23       5354
 1370251    44853    14397   96.83%           23       5094
 1421379     6868     9654   99.52%           23       5130
 1399970     5697    11988   99.59%           23       5174
 1324372    36282    48692   97.33%           23       5480
 1407224    34498    27542   97.61%           23       5176
 1651219     3262     9219   99.80%           23       5197
 1651811     1621     8696   99.90%           23       5211
 1682708     1263     8778   99.92%           23       5224
 1644021     1254     8555   99.92%           23       5236
 1640634     1575     8655   99.90%           23       5250
 1671388     1488     8831   99.91%           23       5264
 1640879     1458     8648   99.91%           23       5276
 1671631     1362     8732   99.92%           23       5290
 1677688     1278     9021   99.92%           23       5303
 1642976     1375     8723   99.92%           23       5315
 1636778     1246     8722   99.92%           23       5328
 1677890     1233     8989   99.93%           23       5340
 1625695     1238     8743   99.92%           23       5352
 1645092     1294     8997   99.92%           23       5366
 1630293     1244     9132   99.92%           23       5378
 1615385     1560     8980   99.90%           23       5392
 1647386     1468     9003   99.91%           23       5406
 1641170     1513     8759   99.91%           23       5419
 1558038        0    10164  100.00%           23       5432
 1579601        0     9948  100.00%           23       5445
 1549028      372     9707   99.98%           23       5458
 1548658      411     9282   99.97%           23       5470
 1582618      496     9608   99.97%           23       5484
 1529847     1441     9126   99.91%           23       5498
 1533320      745     9146   99.95%           23       5512
 1589239      885     9255   99.94%           23       5524
 1552103     1188     9071   99.92%           23       5536
 1563814     1050     8844   99.93%           23       5549
 1445268    26506    33963   98.20%           23       5761
 1449615    69695    40939   95.41%           23       5681
 1661125    26478    33527   98.43%           23       5760
 1693221    28645    39023   98.34%           24       5926
 1666289    26680    33196   98.42%           24       6006
 1708266    26549    33204   98.47%           24       6085
 1671151    28769    35437   98.31%           24       6247
 1697119    26518    33650   98.46%           24       6328
 1681742    28757    35386   98.32%           24       6489
 1104299   134762    37233   89.12%           24       5421
 1350173    80427    31137   94.38%           24       5797
 1518342    21402    20529   98.61%           24       5861
 1473805    24623    19947   98.36%           24       5681
 1517364    29511    21718   98.09%           24       5848
 1512649    12827    18078   99.16%           24       5876
 1519030    12115    18705   99.21%           24       5972
 1484031    35749    20765   97.65%           24       5835
 1493138    16810    18677   98.89%           24       5882
 1556287    12082    18727   99.23%           24       5975
 1495701    25354    19224   98.33%           24       5793
 1477949    25671    23270   98.29%           24       5947
 1498728    13648    17628   99.10%           24       5982
 1475504    11752    18258   99.21%           24       6073
 1479619    11024    17962   99.26%           24       6098
 1525428    10409    17691   99.32%           24       6117
 1491176    11753    18511   99.22%           24       6210
 1425010    43333    21179   97.05%           24       5846
 1402294    38181    22214   97.35%           24       6046
 1466083    15092    18583   98.98%           24       6086
 1478659    11768    18359   99.21%           24       6177
 1406120    28932    12490   97.98%           24       5980
 1476245     6403     9602   99.57%           24       6014
 1409819    15681    22168   98.90%           24       6136
 1333207    33684    36649   97.54%           24       5901
 1507878    36405    19913   97.64%           24       6062
 1653738     2421     9373   99.85%           24       6080
 1701228     1316     9050   99.92%           24       6093
 1658841     1513     8816   99.91%           24       6106
 1728603     1234     8706   99.93%           24       6119
 1658750     1271     8836   99.92%           24       6131
 1647154     1475     8863   99.91%           24       6145
 1696563        0    10212  100.00%           24       6159
 1648899        0    10593  100.00%           24       6170
 1712355      565    13485   99.97%           24       6189
 1654555     1360     8511   99.92%           24       6200
 1651303     1497     8428   99.91%           24       6216
 1680351     1297     8628   99.92%           24       6226
 1642729     1214     8360   99.93%           24       6241
 1660467     1237     8563   99.93%           24       6253
 1669896     1823     9226   99.89%           24       6268
 1632166     1435     8537   99.91%           24       6279
 1666503     1438     9116   99.91%           24       6295
 1632842     1230     8643   99.92%           24       6307
 1624533     1299     8549   99.92%           24       6320
 1686689     1286     9161   99.92%           24       6333
 1635545     1217     8728   99.93%           24       6345
 1622645     1209     8793   99.93%           24       6357
 1652586     1258     8688   99.92%           24       6370
 1638605     1232     8817   99.92%           24       6382
 1660060     1245     8941   99.93%           24       6395
 1617739     1769     8866   99.89%           24       6409
 1610264     1444     8668   99.91%           24       6422
 1635292        0    10662  100.00%           24       6435
 1553587    13864    23116   99.12%           24       6555
 1481502    51194    40749   96.66%           24       6401
 1702936    44504    37344   97.45%           24       6629
 1720595    27337    34273   98.44%           24       6716
