Script started on 2025-11-15 13:10:56+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
 1789555     1382     5769   99.92%           20       1308
 1758597     1291     5394   99.93%           20       1319
 1762559     1295     5439   99.93%           20       1329
 1221253     1419     5711   99.88%           20       1340
  943193     1509     6041   99.84%           20       1352
  921909     1465     5864   99.84%           20       1363
  926655     1482     5881   99.84%           20       1375
  925456     1500     5912   99.84%           20       1386
  918600     1409     5645   99.85%           20       1398
  926593     1507     5927   99.84%           20       1409
  911258     1502     5841   99.84%           20       1421
  901860     1486     5805   99.84%           20       1433
  901039     1475     5799   99.84%           20       1444
  932175     1472     5735   99.84%           20       1456
  896342     1520     5904   99.83%           20       1468
  886499     1439     5658   99.84%           20       1479
  894492     1508     5823   99.83%           20       1491
  834853    21087    25263   97.54%           20       1655
  934350    60461    27838   93.92%           20       1491
 1344305     6605     5960   99.51%           20       1522
 1295105     1436     5857   99.89%           20       1533
 1302565     1408     5816   99.89%           20       1544
 1292458     1404     5808   99.89%           20       1555
 1308431     1396     5729   99.89%           20       1566
 1313500     1426     5859   99.89%           20       1577
 1283704     1396     5760   99.89%           20       1588
 1279915     1425     5857   99.89%           20       1599
 1270624     1387     5693   99.89%           20       1610
 1278854     1399     5685   99.89%           20       1621
 1286736     1395     5715   99.89%           20       1632
 1285473     1427     5728   99.89%           20       1643
 1270676     1404     5674   99.89%           20       1654
 1245824     1406     5771   99.89%           20       1665
 1274502     1430     5786   99.89%           20       1676
 1249477     1411     5793   99.89%           20       1687
 1285457     1451     5927   99.89%           20       1698
 1237842     1374     5667   99.89%           20       1709
 1249190     1443     5902   99.88%           20       1721
 1230284     1393     5702   99.89%           20       1732
 1232713     1399     5730   99.89%           20       1743
 1235416     1418     5790   99.89%           20       1753
 1268201     1445     5913   99.89%           20       1765
 1224507     1440     5801   99.88%           20       1776
 1250104     1395     5684   99.89%           20       1787
 1255807     1395     5610   99.89%           20       1798
 1220233     1413     5750   99.88%           20       1809
 1222292     1420     5793   99.88%           20       1820
 1142364    34814    39018   97.04%           20       2092
 1352397    67838    30474   95.22%           20       1968
 1576421    24476    28503   98.47%           20       2030
 1537338    28049    32125   98.21%           20       2184
 1531590    29507    33353   98.11%           20       2285
 1573412    29227    33199   98.18%           20       2383
 1549796    28287    32237   98.21%           20       2539
 1557281    27016    30985   98.29%           20       2620
 1184882   182835    16150   86.63%           20       1951
 1301711    15495    14526   98.82%           20       1980
 1312807    26955    15204   97.99%           20       2005
 1279818    22478    14673   98.27%           20       1941
 1324641    15518    15203   98.84%           20       2045
 1278470    20551    10420   98.42%           20       1956
 1304919     4115     5890   99.69%           22       1976
 1357937     1478     5847   99.89%           22       1987
 1283969     1373     5681   99.89%           22       1998
 1284346     1452     5962   99.89%           22       2010
 1278890     1413     5771   99.89%           22       2021
 1272948     1425     5894   99.89%           22       2032
 1272439     1480     5845   99.88%           22       2043
 1281184     1411     5863   99.89%           23       2054
 1300636     1460     5976   99.89%           23       2065
 1271594     1466     5963   99.88%           23       2077
 1275661     1434     5870   99.89%           23       2088
 1275257     1377     5625   99.89%           23       2099
 1266126     1434     5798   99.89%           23       2110
 1259190     1424     5783   99.89%           23       2121
 1261661     1452     5833   99.89%           23       2133
 1224194     1508     6070   99.88%           23       2144
 1094261    28204    32467   97.49%           23       2364
 1243386    55348    20322   95.74%           23       2154
 1489513     3831     5877   99.74%           23       2175
 1515211     1421     5846   99.91%           23       2186
 1496241     1409     5907   99.91%           23       2197
 1500824     1388     5789   99.91%           23       2207
 1468115     1382     5750   99.91%           23       2218
 1507048     1400     5828   99.91%           23       2229
 1473699     1361     5700   99.91%           23       2240
 1466746     1393     5768   99.91%           23       2251
 1463323     1402     5802   99.90%           23       2262
 1456358     1408     5824   99.90%           23       2273
 1483357     1436     5952   99.90%           23       2284
 1444484     1385     5769   99.90%           23       2295
 1448509     1362     5615   99.91%           23       2306
 1471912     1374     5744   99.91%           23       2316
 1463153     1407     5887   99.90%           23       2327
 1447504     1399     5811   99.90%           23       2339
 1433202     1357     5674   99.91%           23       2349
 1437193     1350     5629   99.91%           23       2359
 1459199     1442     6039   99.90%           23       2371
 1402676     1417     5831   99.90%           23       2382
 1423046     1425     5979   99.90%           23       2393
 1413728     1368     5686   99.90%           23       2404
 1414102     1388     5756   99.90%           23       2415
 1461195     1390     5827   99.90%           23       2425
 1382287     1362     5667   99.90%           23       2436
 1428163     1327     5469   99.91%           23       2446
 1398064     1384     5767   99.90%           23       2457
 1427854     1395     5815   99.90%           23       2468
 1322196    26850    31119   98.01%           23       2678
 1407330    72284    34826   95.11%           23       2590
 1690897    25437    29387   98.52%           23       2660
 1639714    28830    33054   98.27%           23       2819
 1688797    26401    30204   98.46%           23       2895
 1654821    27522    31793   98.36%           23       3046
 1670902    28015    32026   98.35%           23       3135
 1634530    26900    30892   98.38%           23       3215
 1634281    27329    31096   98.36%           23       3363
 1506727   132268    25322   91.93%           23       3256
 1317918   104755    14972   92.64%           23       2651
 1443794    26793    14589   98.18%           23       2602
 1416490    14872    15438   98.96%           23       2705
 1426228    24869    14374   98.29%           23       2648
 1448823    13341    15900   99.09%           23       2746
 1413785    25842    14219   98.20%           23       2692
 1413341    18901    15319   98.68%           23       2616
 1387081    20004    15416   98.58%           23       2737
 1427740    19061    11069   98.68%           23       2644
 1411612     5555     5771   99.61%           23       2672
 1426726     1578     5692   99.89%           23       2683
 1409516     1368     5662   99.90%           23       2694
 1444233     1426     5932   99.90%           23       2705
 1402071     1381     5694   99.90%           23       2716
 1406093     1406     5816   99.90%           23       2727
 1425122     1378     5642   99.90%           23       2737
 1417650     1418     5775   99.90%           23       2749
 1408525     1427     5907   99.90%           23       2760
 1387616     1391     5748   99.90%           23       2771
 1389525     1379     5704   99.90%           23       2782
 1364408     1383     5665   99.90%           23       2792
 1296115    41149    45433   96.92%           23       3114
 1521702    43086     6885   97.25%           23       2808
 1690298     2207     5817   99.87%           23       2822
 1648088     1329     5565   99.92%           23       2832
 1671743     1314     5544   99.92%           23       2842
 1673609     1378     5816   99.92%           23       2853
 1634087     1280     5416   99.92%           23       2863
 1627010     1361     5766   99.92%           23       2874
 1674006     1399     5873   99.92%           23       2885
 1645992     1374     5767   99.92%           23       2896
 1636416     1350     5668   99.92%           23       2906
 1618003     1366     5694   99.92%           23       2917
 1645420     1374     5754   99.92%           23       2928
 1603719     1341     5624   99.92%           23       2938
 1643162     1339     5557   99.92%           23       2948
 1653049     1364     5760   99.92%           23       2959
 1603046     1320     5576   99.92%           23       2970
 1613962     1358     5748   99.92%           23       2980
 1636962     1367     5770   99.92%           23       2991
 1587078     1339     5641   99.92%           23       3001
 1594945     1363     5708   99.91%           23       3012
 1622683     1353     5706   99.92%           23       3022
 1572364     1365     5768   99.91%           23       3033
 1581138     1333     5623   99.92%           23       3044
 1639866     1344     5630   99.92%           23       3054
 1582662     1322     5560   99.92%           23       3065
 1600605     1310     5438   99.92%           23       3075
 1587903     1368     5747   99.91%           23       3085
 1568151     1339     5605   99.91%           23       3096
 1544269     1317     5549   99.91%           23       3106
 1585767     1366     5679   99.91%           23       3116
 1467394    31409    35568   97.90%           23       3362
 1606652    69513    31472   95.85%           23       3248
 1769257    24792    28806   98.62%           23       3312
 1821681    29339    33008   98.41%           23       3475
 1746862    30676    34787   98.27%           23       3586
 1798110    27880    31529   98.47%           23       3673
 1744610    30674    34606   98.27%           23       3782
 1785944    32396    36785   98.22%           23       3972
 1731887    31515    35383   98.21%           23       4088
 1372148   202460    13654   87.14%           23       3212
