Script started on 2025-11-15 13:38:29+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
  944516     1453     6099   99.85%           18       1342
  881258     1398     5752   99.84%           18       1353
  869521     1422     5997   99.84%           18       1365
  873774     1455     6042   99.83%           18       1376
  855362     1410     5864   99.84%           18       1387
  874185     1487     6243   99.83%           18       1398
  831503     1412     5910   99.83%           18       1410
  851216     1438     6007   99.83%           18       1421
  820805     1388     5714   99.83%           18       1432
  838741     1435     5909   99.83%           18       1443
  840859     1425     5876   99.83%           18       1454
  873152     1446     5891   99.83%           18       1466
  778969    23293    27252   97.10%           18       1646
  928423    60311    25723   93.90%           18       1472
 1301664     4476     5736   99.66%           18       1496
 1258776     1360     5768   99.89%           18       1506
 1252876     1369     5880   99.89%           18       1517
 1243931     1376     5920   99.89%           18       1528
 1228480     1364     5812   99.89%           18       1538
 1227915     1374     5870   99.89%           18       1549
 1198453     1329     5626   99.89%           18       1559
 1249510     1319     5507   99.89%           18       1570
 1228887     1388     5986   99.89%           18       1581
 1221088     1389     5876   99.89%           18       1591
 1228711     1341     5728   99.89%           18       1602
 1222858     1391     5962   99.89%           18       1612
 1224931     1380     5891   99.89%           18       1624
 1190676     1354     5737   99.89%           18       1634
 1219926     1396     5936   99.89%           18       1645
 1211858     1368     5857   99.89%           18       1656
 1208891     1400     5934   99.88%           18       1667
 1239310     1425     6003   99.89%           18       1678
 1208415     1398     5985   99.88%           18       1689
 1178600     1359     5736   99.88%           18       1699
 1191195     1366     5775   99.89%           18       1710
 1196344     1411     5896   99.88%           18       1721
 1196267     1420     5954   99.88%           18       1732
 1187462     1391     5914   99.88%           18       1743
 1174070     1399     5917   99.88%           18       1754
 1160928     1331     5628   99.89%           18       1765
 1147975     1345     5688   99.88%           18       1775
 1204396     1392     5838   99.88%           18       1786
 1123708    21008    25288   98.16%           18       1950
 1178774    76471    39397   93.91%           18       1904
 1481410    27955    31590   98.15%           18       1992
 1476382    28233    32036   98.12%           18       2148
 1460211    30275    34011   97.97%           19       2254
 1444905    29417    33097   98.00%           19       2355
 1481232    27882    31637   98.15%           19       2442
 1392989    84563    30548   94.28%           19       2257
 1161821   123592    14806   90.39%           19       1952
 1259996    25936    14667   97.98%           19       1902
 1234500    14537    16032   98.84%           19       2004
 1225179    26499    14839   97.88%           19       1957
 1232765    12940    14796   98.96%           19       1901
 1204049    15966     5681   98.69%           19       1924
 1237381     1525     5804   99.88%           19       1934
 1239953     1391     5865   99.89%           19       1946
 1219625     1363     5883   99.89%           19       1956
 1196222     1311     5630   99.89%           19       1967
 1196943     1345     5726   99.89%           19       1977
 1237354     1325     5671   99.89%           19       1988
 1210025     1397     5950   99.88%           19       1998
 1235190     1362     5817   99.89%           19       2009
 1191541     1325     5637   99.89%           19       2019
 1208194     1374     5856   99.89%           19       2030
 1199820     1375     5845   99.89%           19       2041
 1179382     1385     5916   99.88%           19       2052
 1178105     1389     5886   99.88%           19       2063
 1171905     1343     5654   99.89%           19       2073
 1178063     1368     5761   99.88%           19       2084
 1209607     1343     5701   99.89%           19       2094
 1172473     1384     5888   99.88%           19       2104
 1057544    41537    45568   96.22%           19       2293
 1462136    41330     5458   97.25%           19       2122
 1491505     1533     5733   99.90%           19       2133
 1395239     1345     5730   99.90%           19       2144
 1407838     1332     5732   99.91%           19       2155
 1396373     1357     5773   99.90%           19       2165
 1410659     1359     5742   99.90%           19       2176
 1363984     1288     5447   99.91%           19       2185
 1404222     1288     5475   99.91%           19       2196
 1390606     1327     5732   99.90%           19       2206
 1402632     1322     5687   99.91%           19       2216
 1391257     1317     5711   99.91%           19       2227
 1391016     1377     5956   99.90%           19       2238
 1391637     1349     5718   99.90%           19       2248
 1378389     1307     5562   99.91%           19       2259
 1382367     1357     5820   99.90%           19       2268
 1374870     1337     5809   99.90%           19       2280
 1377299     1333     5713   99.90%           19       2290
 1382665     1298     5513   99.91%           19       2300
 1359532     1322     5713   99.90%           19       2311
 1313278     1300     5572   99.90%           19       2320
 1328729     1331     5668   99.90%           19       2330
 1362379     1335     5733   99.90%           19       2341
 1339931     1305     5647   99.90%           19       2352
 1344312     1372     5884   99.90%           19       2362
 1342765     1323     5672   99.90%           19       2372
 1304466     1278     5388   99.90%           19       2383
 1333478     1322     5625   99.90%           19       2393
 1341907     1326     5646   99.90%           19       2404
 1337208     1320     5636   99.90%           19       2413
 1317397     1335     5697   99.90%           19       2424
 1203545    60732    46665   95.20%           19       2517
 1540176    52626    33555   96.70%           19       2605
 1534552    30915    34732   98.03%           19       2718
 1532334    31639    35131   97.98%           19       2834
 1523759    30368    34286   98.05%           19       2942
 1536127    32040    35833   97.96%           19       3128
 1539355    33156    36658   97.89%           19       3257
 1513371    89240    30950   94.43%           19       3156
 1223276   145392    15007   89.38%           19       2564
 1346104    29846    15316   97.83%           19       2531
 1370297    16345    16159   98.82%           19       2644
 1347556    26867    15213   98.05%           19       2598
 1339350    20352    15277   98.50%           19       2526
 1348827    19954    16527   98.54%           19       2654
 1320483    25963    15274   98.07%           19       2605
 1362696    13500    15648   99.02%           19       2654
 1306689    17131     5533   98.71%           19       2582
 1372991     1936     5619   99.86%           19       2596
 1353045     1364     5720   99.90%           19       2607
 1365149     1363     5864   99.90%           19       2617
 1353560     1361     5835   99.90%           19       2628
 1354099     1323     5665   99.90%           19       2638
 1349065     1384     5912   99.90%           19       2649
 1357392     1370     5832   99.90%           19       2660
 1347772     1349     5757   99.90%           19       2669
