Script started on 2025-11-15 12:43:10+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
  883197     1547     7903   99.83%           75       1686
  885209     1709     8308   99.81%           75       1701
  876786     1440     8112   99.84%           75       1715
  867566     1418     8143   99.84%           75       1728
  861589     1397     8085   99.84%           75       1742
  869663     1763     8366   99.80%           75       1757
  839517    11003    17154   98.71%           75       1844
  778222    33769    39641   95.84%           75       2108
 1119281    42207    16547   96.37%           75       1805
 1306014     1457     8697   99.89%           75       1819
 1275064     1287     8540   99.90%           75       1832
 1261393     1304     8756   99.90%           75       1845
 1292773     1343     8670   99.90%           75       1858
 1267908     1610     8778   99.87%           75       1873
 1265578     1572     8627   99.88%           75       1887
 1255044     1568     8841   99.88%           75       1901
 1258918     1357     8673   99.89%           75       1914
 1252563     1365     8703   99.89%           75       1927
 1243459     1533     8528   99.88%           75       1941
 1273116     1341     8307   99.89%           75       1954
 1243491     1334     8460   99.89%           75       1967
 1237676     2020     8746   99.84%           75       1983
 1236017     1382     8912   99.89%           75       1996
 1228738        0     9946  100.00%           75       2009
 1214421        0     9877  100.00%           75       2022
 1217142      266     9791   99.98%           75       2036
 1213207      316     9067   99.97%           75       2049
 1191344      509     9114   99.96%           75       2062
 1187918      887     8923   99.93%           75       2076
 1224446      776     8675   99.94%           75       2089
 1207654      915     8835   99.92%           75       2102
 1211513     1357    12225   99.89%           75       2120
 1195075     1483     8295   99.88%           75       2134
 1176759     1570     8099   99.87%           75       2148
 1184385     1418     8435   99.88%           75       2161
 1183958     1318     8231   99.89%           75       2174
 1146164    17408    24263   98.50%           75       2313
 1055271    64520    39420   94.24%           75       2195
 1488559    34195    33223   97.75%           75       2370
 1555308    24016    30543   98.48%           75       2429
 1495542    27011    34442   98.23%           75       2579
 1538311    25425    32349   98.37%           75       2650
 1491522    26724    33539   98.24%           75       2796
 1479747    25811    32678   98.29%           75       2871
 1438639    59117    33551   96.05%           75       2691
  951423   144184    34415   86.84%           75       2391
 1243189    28051    19503   97.79%           75       2352
 1263450    13896    18676   98.91%           75       2454
 1257300    23611    20654   98.16%           75       2404
 1283680    11091    19853   99.14%           75       2500
 1240939    16175    13477   98.71%           75       2391
 1272315     1102     9560   99.91%           75       2407
 1256521      682     9249   99.95%           75       2420
 1272792        0    10462  100.00%           75       2433
 1240564        0    10497  100.00%           75       2447
 1289271     1088    12015   99.92%           75       2464
 1246267     1318     8436   99.89%           75       2477
 1228094     1584     8112   99.87%           75       2491
 1260655     1344     8531   99.89%           75       2505
 1267221     1366     8424   99.89%           75       2518
 1220790     1580     8609   99.87%           75       2532
 1220755     1623     8720   99.87%           75       2547
 1221880     1556     8658   99.87%           75       2560
 1222069     1483     8489   99.88%           75       2574
 1238223     1378     8604   99.89%           75       2587
 1213204     1426     8666   99.88%           75       2601
 1154178    14599    21261   98.75%           75       2716
 1090493    38920    37426   96.55%           75       2504
 1435475    31785    17264   97.83%           75       2648
 1557379     1656     8942   99.89%           75       2662
 1442917     1381     9191   99.90%           75       2676
 1478885     1266     8981   99.91%           75       2689
 1435360     1486     8776   99.90%           75       2702
 1430140     1342     8888   99.91%           75       2715
 1422894        0    10503  100.00%           75       2728
 1463846      219    10260   99.99%           75       2742
 1417679      334     9757   99.98%           75       2756
 1418933      355     9576   99.97%           75       2769
 1420322      537     9288   99.96%           75       2783
 1464575      843     9451   99.94%           75       2796
 1402595      909     9236   99.94%           75       2810
 1399580      905     9177   99.94%           75       2822
 1397486     1242     8997   99.91%           75       2836
 1430781     1085     9186   99.92%           75       2849
 1387898     1066     9121   99.92%           75       2862
 1364808     1587    12093   99.88%           76       2880
 1399562     1397     8489   99.90%           76       2893
 1398970     1585     8616   99.89%           76       2907
 1388201     1350     8714   99.90%           76       2920
 1406740     1291     8441   99.91%           76       2933
 1402066     1314     8682   99.91%           76       2946
 1365436     1796     8654   99.87%           76       2960
 1355017     1524     8472   99.89%           76       2974
 1364553     1437     8900   99.89%           76       2988
 1382381     1276     8447   99.91%           76       3001
 1356646     1360     8614   99.90%           76       3014
 1247555    34118    40814   97.34%           76       3282
 1416271    65673    36254   95.57%           76       3169
 1584211    26124    32857   98.38%           76       3245
 1647045    26153    33463   98.44%           76       3373
 1574508    27884    34653   98.26%           76       3478
 1616828    27307    34009   98.34%           76       3562
 1565682    28437    34996   98.22%           76       3721
 1596366    27577    34797   98.30%           76       3809
 1586484    28391    35168   98.24%           76       3969
  914311   171948    36671   84.17%           76       3034
 1309986    54636    24002   96.00%           76       3163
 1362516    27834    20677   98.00%           76       3264
 1400626    22468    22111   98.42%           76       3206
 1407226    16730    18761   98.83%           76       3319
 1362622    23783    18487   98.28%           76       3262
 1387311    14167    18961   98.99%           76       3365
 1386631    26011    19246   98.16%           76       3317
 1375816    11526    17740   99.17%           76       3342
 1370919    17106    10685   98.77%           76       3289
 1416389     1971     9171   99.86%           76       3305
 1392485     1336     8905   99.90%           76       3318
 1395815     1310     8963   99.91%           76       3331
 1373099     1305     8646   99.91%           76       3344
 1430317     1313     8853   99.91%           76       3357
 1389559     1333     8850   99.90%           76       3370
 1374150     1559     8525   99.89%           76       3384
 1367996     1761     8800   99.87%           76       3399
 1362729     1388     8724   99.90%           76       3412
 1391763     1281     8731   99.91%           76       3425
 1346158        0    10311  100.00%           76       3438
 1353065      141     9421   99.99%           76       3452
 1286313    24650    33462   98.12%           76       3654
 1157484    47260    34185   96.08%           76       3447
 1640883     9500    12759   99.42%           76       3499
 1624686     1119     9009   99.93%           76       3512
 1650196     1314     8690   99.92%           76       3525
 1651132     1122     8974   99.93%           76       3538
 1604152     1101     8681   99.93%           76       3550
 1634982     1480    12005   99.91%           76       3567
 1634129     1418     8647   99.91%           76       3580
 1601485     1503     8431   99.91%           76       3593
 1605770     1273     8353   99.92%           76       3606
 1627694     1269     8653   99.92%           76       3620
 1629522     1248     8542   99.92%           76       3631
 1585100     1548     8735   99.90%           76       3645
 1623894     1775     8864   99.89%           76       3660
 1574307     1220     8435   99.92%           76       3673
 1559863     1344     8645   99.91%           76       3685
 1618878     1263     8935   99.92%           76       3698
 1564699     1340     8414   99.91%           76       3711
 1568380     1256     8740   99.92%           76       3723
 1611463     1288     8990   99.92%           76       3736
 1564405     1292     8594   99.92%           76       3749
 1592061     1257     8746   99.92%           76       3762
 1584066     1242     8842   99.92%           76       3774
 1551764     1524     8676   99.90%           76       3787
 1547852     1472     8849   99.90%           76       3801
 1567017     1512     8839   99.90%           76       3815
 1543074     1258     8679   99.92%           76       3827
 1529924     1202     8485   99.92%           76       3839
 1551544     1529     8819   99.90%           76       3853
 1529563     1251     8602   99.92%           76       3865
 1466951    26687    33802   98.21%           76       4076
 1476312    70414    39765   95.45%           76       3987
 1760097    25711    32433   98.56%           76       4060
 1707953    28536    35285   98.36%           76       4219
 1750864    26483    33757   98.51%           76       4300
 1717669    28419    35647   98.37%           76       4459
 1742127    27371    34328   98.45%           76       4545
 1684577    26757    33426   98.44%           76       4627
 1721954    26572    38919   98.48%           76       4794
 1252862   156053    40381   88.92%           77       3817
 1371761    66389    28500   95.38%           77       4133
 1541888    14883    18768   99.04%           77       4173
 1509286    19491    18763   98.73%           77       3970
 1526101    33767    21864   97.84%           77       4154
 1516680    23896    19059   98.45%           77       4098
 1575913    15908    19087   99.00%           77       4208
 1489551    24909    19087   98.36%           77       4155
 1526788    13343    18934   99.13%           77       4256
 1569556    11044    18119   99.30%           77       4279
 1501939    26128    19483   98.29%           77       4103
 1508627    27397    20409   98.22%           77       4259
 1546190    12060    18158   99.23%           77       4287
 1506679    11718    18588   99.23%           77       4380
 1536758    10422    17899   99.33%           77       4400
 1477570    22671    18291   98.49%           77       4165
 1423637    35407    15462   97.57%           77       4236
 1542228     3733     9786   99.76%           77       4256
 1475320     1637     8220   99.89%           77       4271
 1478054     1329     8462   99.91%           77       4284
 1511574     1278     8568   99.92%           77       4296
 1494236     1298     8621   99.91%           77       4309
 1477732     1534     8554   99.90%           77       4323
 1434260    19655    26393   98.65%           77       4478
 1264603    49834    37080   96.21%           77       4293
 1699073    16382    14260   99.05%           77       4369
 1720607     1449     8795   99.92%           77       4383
 1731214     1235     8628   99.93%           77       4396
 1752939     1547     8867   99.91%           77       4409
 1565859     1452     8635   99.91%           77       4423
 1581082     1525     9180   99.90%           77       4436
 1575523     1275     8760   99.92%           77       4449
 1549663     1242     8692   99.92%           77       4462
 1578814     1529     9010   99.90%           77       4475
 1535688     1284     8582   99.92%           77       4488
 1544569     1231     8629   99.92%           77       4500
 1550527     1900     9019   99.88%           77       4514
 1533663     1351     8818   99.91%           77       4528
 1535689     1246     8736   99.92%           77       4541
 1561557     1285     9051   99.92%           77       4554
 1528555        0    11371  100.00%           77       4568
 1554104        0     9878  100.00%           77       4580
 1559550        0    10003  100.00%           77       4593
 1516533      356     9583   99.98%           77       4606
 1509617      444     9286   99.97%           77       4619
 1550026      528     9486   99.97%           77       4631
 1515515     1185    12200   99.92%           77       4648
 1510692     1376     8371   99.91%           77       4661
 1533005     1555     8592   99.90%           77       4675
 1501301     1256     8329   99.92%           77       4687
 1490135     1243     8090   99.92%           77       4700
 1553108     1296     8888   99.92%           77       4712
 1504860     1517     8549   99.90%           77       4726
 1502468     1716     8576   99.89%           77       4740
 1450565    22426    29607   98.48%           77       4917
 1336044    67647    38594   95.18%           77       4817
 1659232    28677    34256   98.30%           77       4972
 1633167    27299    34189   98.36%           77       5058
 1660826    26255    33270   98.44%           77       5135
 1676823    27545    35111   98.38%           77       5289
 1625990    24401    34234   98.52%           77       5364
 1675802    28099    36793   98.35%           77       5530
 1602624    27304    33326   98.32%           77       5548
  868345   159230    40917   84.50%           77       4838
 1409834    47947    24392   96.71%           77       4882
 1530143    20616    20025   98.67%           77       5012
 1492954    11775    17759   99.22%           77       5037
 1519131    11894    21929   99.22%           77       5134
 1528639    10656    17418   99.31%           77       5155
 1511187    10942    17432   99.28%           77       5176
 1488621    11173    17914   99.26%           77       5266
 1551732    10626    17895   99.32%           77       5288
 1496787    11204    18365   99.26%           77       5378
 1368743    68449    17726   95.24%           78       4959
 1435122    16330    10897   98.87%           78       5035
 1457193     3288     9151   99.77%           78       5056
 1487232        0    10397  100.00%           78       5071
 1468188      297     9287   99.98%           78       5083
 1454590      592     9464   99.96%           78       5096
 1459333      703     9166   99.95%           78       5109
 1476565     1318     9276   99.91%           78       5124
 1470053     1112     8991   99.92%           78       5136
 1450752     1015     8926   99.93%           78       5150
 1478511     1040     8785   99.93%           78       5163
 1450811     1318     8848   99.91%           78       5177
 1442888     1155     8824   99.92%           78       5188
 1385669    21031    28327   98.50%           78       5355
 1252552    42526    34401   96.72%           78       5134
 1610565    21568    16132   98.68%           78       5234
 1668994     2002     9252   99.88%           78       5251
 1658544     1266     8786   99.92%           78       5264
 1716760     1238     9004   99.93%           78       5276
 1665422     1588    12066   99.90%           78       5293
 1684186     1404     8652   99.92%           78       5306
 1656703     1492     8372   99.91%           78       5319
 1655156     1276     8608   99.92%           78       5332
 1680418     1236     8702   99.93%           78       5345
 1648818     1219     8414   99.93%           78       5357
 1645902     1519     8636   99.91%           78       5370
 1682018     1471     8774   99.91%           78       5384
