Script started on 2025-11-15 12:39:55+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
 1492064   100391    70166   93.70%           24      13278
 1359654   124599   105497   91.61%           24      13781
 1699812   106586    66806   94.10%           24      13001
 2307707    72439    63152   96.96%           24      13340
 2186345    65197    60337   97.10%           24      13641
 2184250    61083    59686   97.28%           24      13926
 1930398    95604    96597   95.28%           25      14498
 1635121    89453    64381   94.81%           25      14424
 2682834    51125    55005   98.13%           25      14659
 2526351    51439    53933   98.00%           25      14886
  639436   131634    43618   82.93%           25      15487
  809770   102882    41091   88.73%           25      15907
 1253437    85421    46228   93.62%           25      16271
 1623061   102701    84540   94.05%           25      16926
 1578185    79924    41477   95.18%           25      14056
 2554889    43841    37580   98.31%           25      14251
 2489423    36379    36218   98.56%           25      14480
 2337253    30657    35538   98.71%           25      14622
 2006424    56026    64355   97.28%           25      14586

Script done on 2025-11-15 12:42:48+00:00 [COMMAND_EXIT_CODE="143"]
