seq,opcode,opname,len,unique,err,enqueue_ts_ns,dequeue_ts_ns,done_ts_ns,queueing_ns,daemon_ns
80,14,OPEN,0,717494,0,62861416851675,62861416859495,62861416871760,7820,12265
78,14,OPEN,0,717490,0,62861416831365,62861416843784,62861416879387,12419,35603
81,1,LOOKUP,0,717496,0,62861416864934,62861416877842,62861416913266,12908,35424
82,14,OPEN,0,717498,0,62861416896651,62861416902049,62861416920746,5398,18697
83,14,OPEN,0,717500,0,62861416932748,62861416944148,62861416952821,11400,8673
84,1,LOOKUP,0,717502,0,62861416937980,62861416951285,62861416995431,13305,44146
85,14,OPEN,0,717504,0,62861417015387,62861417028666,62861417047978,13279,19312
86,1,LOOKUP,0,717506,0,62861417020322,62861417030207,62861417052997,9885,22790
87,14,OPEN,0,717508,0,62861417074633,62861417088308,62861417117539,13675,29231
88,1,LOOKUP,0,717510,0,62861417078108,62861417091736,62861417118032,13628,26296
89,14,OPEN,0,717512,0,62861417132953,62861417153463,62861417182954,20510,29491
90,1,LOOKUP,0,717514,0,62861417142883,62861417160315,62861417203961,17432,43646
91,14,OPEN,0,717516,0,62861417247728,62861417260398,62861417272215,12670,11817
92,1,LOOKUP,0,717518,0,62861417253020,62861417267875,62861417303907,14855,36032
93,14,OPEN,0,717520,0,62861417326950,62861417340582,62861417350821,13632,10239
94,1,LOOKUP,0,717522,0,62861417332632,62861417350769,62861417403135,18137,52366
96,14,OPEN,0,717526,0,62861417418387,62861417431247,62861417453814,12860,22567
97,1,LOOKUP,0,717528,0,62861417422332,62861417435514,62861417467766,13182,32252
98,14,OPEN,0,717530,0,62861417486558,62861417495298,62861417507548,8740,12250
99,1,LOOKUP,0,717532,0,62861417489581,62861417501865,62861417531821,12284,29956
101,1,LOOKUP,0,717536,0,62861417559811,62861417569183,62861417585158,9372,15975
100,14,OPEN,0,717534,0,62861417545951,62861417558043,62861417592619,12092,34576
103,14,OPEN,0,717540,0,62861417626685,62861417643305,62861417661508,16620,18203
104,1,LOOKUP,0,717542,0,62861417632687,62861417656861,62861417695659,24174,38798
110,1,LOOKUP,0,717554,0,62861417726425,62861417743490,62861417769998,17065,26508
109,14,OPEN,0,717552,0,62861417723391,62861417738819,62861417841248,15428,102429
111,14,OPEN,0,717556,0,62861417793176,62861417836087,62861417861835,42911,25748
112,1,LOOKUP,0,717558,0,62861417794451,62861417840988,62861417907757,46537,66769
114,14,OPEN,0,717562,0,62861417969488,62861417984984,62861418000092,15496,15108
113,14,OPEN,0,717560,0,62861417964289,62861417981752,62861418010342,17463,28590
115,14,OPEN,0,717564,0,62861417979368,62861417992643,62861418069246,13275,76603
116,14,OPEN,0,717566,0,62861417991452,62861418066990,62861418085869,75538,18879
117,14,OPEN,0,717568,0,62861417996494,62861418071550,62861418102972,75056,31422
95,15,READ,0,717524,0,62861417336420,62861417357477,62861423813534,21057,6456057
102,15,READ,0,717538,0,62861417575387,62861417588357,62861423819410,12970,6231053
105,15,READ,0,717544,0,62861417637277,62861417656539,62861423824238,19262,6167699
106,15,READ,0,717546,0,62861417643257,62861417662740,62861423824222,19483,6161482
107,15,READ,0,717548,0,62861417669057,62861417676925,62861423832086,7868,6155161
108,15,READ,0,717550,0,62861417676768,62861417685064,62861423858176,8296,6173112
32,15,READ,0,717398,0,62861415296051,62861415306138,62861423883280,10087,8577142
29,16,WRITE,0,717392,0,62861415193085,62861415201365,62861423916737,8280,8715372
118,15,READ,0,717570,0,62861423852152,62861423876068,62861423992023,23916,115955
120,15,READ,0,717574,0,62861423886955,62861423895766,62861424015823,8811,120057
121,15,READ,0,717576,0,62861423924782,62861423933556,62861424029418,8774,95862
119,15,READ,0,717572,0,62861423880387,62861423889823,62861424037255,9436,147432
124,15,READ,0,717582,0,62861423975582,62861423984258,62861424062527,8676,78269
123,15,READ,0,717580,0,62861423972085,62861423979510,62861424063509,7425,83999
125,15,READ,0,717584,0,62861423989245,62861424000426,62861424074459,11181,74033
122,15,READ,0,717578,0,62861423933183,62861423941978,62861424100392,8795,158414
126,15,READ,0,717586,0,62861424014356,62861424022623,62861424119807,8267,97184
127,15,READ,0,717588,0,62861424038020,62861424048236,62861424124214,10216,75978
129,15,READ,0,717592,0,62861424092077,62861424096574,62861424174250,4497,77676
130,15,READ,0,717594,0,62861424096966,62861424104594,62861424203658,7628,99064
128,15,READ,0,717590,0,62861424073818,62861424091987,62861424212094,18169,120107
131,15,READ,0,717596,0,62861424106788,62861424111415,62861424225710,4627,114295
132,15,READ,0,717598,0,62861424132705,62861424140170,62861424228071,7465,87901
134,15,READ,0,717602,0,62861424144459,62861424153218,62861424233558,8759,80340
135,15,READ,0,717604,0,62861424154473,62861424162700,62861424249534,8227,86834
133,15,READ,0,717600,0,62861424137655,62861424151864,62861424277617,14209,125753
136,15,READ,0,717606,0,62861424200482,62861424210349,62861424283402,9867,73053
137,15,READ,0,717608,0,62861424238474,62861424246466,62861424325346,7992,78880
139,15,READ,0,717612,0,62861424256732,62861424267254,62861424344363,10522,77109
140,15,READ,0,717614,0,62861424267001,62861424276175,62861424361499,9174,85324
138,15,READ,0,717610,0,62861424249796,62861424258841,62861424377781,9045,118940
141,15,READ,0,717616,0,62861424292985,62861424305040,62861424409727,12055,104687
143,15,READ,0,717620,0,62861424330220,62861424335072,62861424424256,4852,89184
142,15,READ,0,717618,0,62861424307729,62861424319287,62861424439026,11558,119739
146,15,READ,0,717626,0,62861424376242,62861424382693,62861424480112,6451,97419
144,15,READ,0,717622,0,62861424358495,62861424377146,62861424481324,18651,104178
145,15,READ,0,717624,0,62861424367394,62861424383188,62861424493401,15794,110213
148,15,READ,0,717630,0,62861424413830,62861424420360,62861424507644,6530,87284
147,15,READ,0,717628,0,62861424400786,62861424413441,62861424524161,12655,110720
149,15,READ,0,717632,0,62861424442568,62861424447021,62861424539692,4453,92671
150,15,READ,0,717634,0,62861424452150,62861424462210,62861424544551,10060,82341
151,15,READ,0,717636,0,62861424457903,62861424464638,62861424556794,6735,92156
152,15,READ,0,717638,0,62861424503968,62861424512831,62861424600842,8863,88011
153,15,READ,0,717640,0,62861424523448,62861424537403,62861424627591,13955,90188
154,15,READ,0,717642,0,62861424531455,62861424537640,62861424631743,6185,94103
156,15,READ,0,717646,0,62861424551879,62861424556053,62861424634521,4174,78468
155,15,READ,0,717644,0,62861424542292,62861424551282,62861424641664,8990,90382
157,15,READ,0,717648,0,62861424562803,62861424570698,62861424663245,7895,92547
159,15,READ,0,717652,0,62861424585234,62861424591764,62861424667237,6530,75473
158,15,READ,0,717650,0,62861424578526,62861424590847,62861424687308,12321,96461
160,15,READ,0,717654,0,62861424616321,62861424622916,62861424699779,6595,76863
161,15,READ,0,717656,0,62861424643919,62861424648892,62861424726905,4973,78013
163,15,READ,0,717660,0,62861424670013,62861424675225,62861424747051,5212,71826
162,15,READ,0,717658,0,62861424659099,62861424667058,62861424756039,7959,88981
164,15,READ,0,717662,0,62861424684832,62861424695522,62861424785011,10690,89489
166,15,READ,0,717666,0,62861424695098,62861424700390,62861424787587,5292,87197
165,15,READ,0,717664,0,62861424689062,62861424699539,62861424807185,10477,107646
167,15,READ,0,717668,0,62861424724924,62861424735059,62861424831124,10135,96065
169,15,READ,0,717672,0,62861424748434,62861424753399,62861424832631,4965,79232
168,15,READ,0,717670,0,62861424728693,62861424737448,62861424842949,8755,105501
170,15,READ,0,717674,0,62861424773416,62861424786449,62861424862388,13033,75939
172,15,READ,0,717678,0,62861424801320,62861424807302,62861424894745,5982,87443
171,15,READ,0,717676,0,62861424781792,62861424793424,62861424899227,11632,105803
173,15,READ,0,717680,0,62861424809772,62861424815656,62861424907568,5884,91912
174,15,READ,0,717682,0,62861424836135,62861424842525,62861424920838,6390,78313
178,15,READ,0,717690,0,62861424884679,62861424892670,62861424969978,7991,77308
175,15,READ,0,717684,0,62861424849138,62861424855116,62861424971979,5978,116863
177,15,READ,0,717688,0,62861424874511,62861424882344,62861424977191,7833,94847
176,15,READ,0,717686,0,62861424871066,62861424879227,62861424979791,8161,100564
179,15,READ,0,717692,0,62861424910564,62861424914504,62861424998728,3940,84224
180,15,READ,0,717694,0,62861424924974,62861424928889,62861425000163,3915,71274
181,15,READ,0,717696,0,62861424931021,62861424936215,62861425031625,5194,95410
182,15,READ,0,717698,0,62861424946439,62861424955542,62861425034790,9103,79248
183,15,READ,0,717700,0,62861424997500,62861425004622,62861425091065,7122,86443
185,15,READ,0,717704,0,62861425019959,62861425027488,62861425110495,7529,83007
186,15,READ,0,717706,0,62861425028131,62861425034646,62861425117328,6515,82682
187,15,READ,0,717708,0,62861425037520,62861425041686,62861425123154,4166,81468
184,15,READ,0,717702,0,62861425004889,62861425015111,62861425125053,10222,109942
189,15,READ,0,717712,0,62861425053812,62861425062452,62861425133510,8640,71058
188,15,READ,0,717710,0,62861425050135,62861425062147,62861425154427,12012,92280
190,15,READ,0,717714,0,62861425068066,62861425077393,62861425173503,9327,96110
191,15,READ,0,717716,0,62861425109060,62861425117935,62861425195782,8875,77847
192,15,READ,0,717718,0,62861425137864,62861425143411,62861425218745,5547,75334
194,15,READ,0,717722,0,62861425150978,62861425158489,62861425244930,7511,86441
193,15,READ,0,717720,0,62861425143719,62861425147898,62861425247349,4179,99451
197,15,READ,0,717728,0,62861425176876,62861425180718,62861425257144,3842,76426
