Linux 5.15.0 (noslab-gpu) 	11/20/2025 	_x86_64_	(40 CPU)

01:08:27 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:08:29 PM   17    8.00    0.00   26.00    0.00    0.00    0.00    0.00    0.00    0.00   66.00
01:08:29 PM   18    4.00    0.00   27.00    0.00    0.00    0.00    0.00    0.00    0.00   69.00
01:08:29 PM   19    4.00    0.00   19.00    0.00    0.00    0.00    0.00    0.00    0.00   77.00
01:08:29 PM   20    5.05    0.00   41.41    0.00    0.00    0.00    0.00    0.00    0.00   53.54
01:08:29 PM   21    2.97    0.00   40.59    0.00    0.00    0.00    0.00    0.00    0.00   56.44
01:08:29 PM   22    3.92    0.00   39.22    0.98    0.00    0.00    0.00    0.00    0.00   55.88
01:08:29 PM   23    3.03    0.00   41.41    0.00    0.00    0.00    0.00    0.00    0.00   55.56
01:08:29 PM   24    2.02    0.00   41.41    0.00    0.00    0.00    0.00    0.00    0.00   56.57
01:08:29 PM   25    7.92    0.00   62.38    1.98    0.00    0.00    0.00    0.00    0.00   27.72
01:08:29 PM   26   16.33    0.00   43.88    0.00    0.00    0.00    0.00    0.00    0.00   39.80
01:08:29 PM   27    3.03    0.00   40.40    0.00    0.00    0.00    0.00    0.00    0.00   56.57
01:08:29 PM   28    4.00    0.00   39.00    1.00    0.00    0.00    0.00    0.00    0.00   56.00
01:08:29 PM   29    3.00    0.00   41.00    0.00    0.00    0.00    0.00    0.00    0.00   56.00
01:08:29 PM   30    4.95    0.00   23.76    0.00    0.00    0.00    0.00    0.00    0.00   71.29
01:08:29 PM   31    3.96    0.00   25.74    0.99    0.00    0.00    0.00    0.00    0.00   69.31
01:08:29 PM   32    3.92    0.00   29.41    0.98    0.00    0.00    0.00    0.00    0.00   65.69
01:08:29 PM   33    3.96    0.00   19.80    0.99    0.00    0.00    0.00    0.00    0.00   75.25
01:08:29 PM   34    3.06    0.00   25.51    0.00    0.00    0.00    0.00    0.00    0.00   71.43
