Script started on 2025-11-14 13:33:47+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
   50262    67536    48323   42.67%           26       9016
   21248    62658    42532   25.32%           26       9258
   18789    45589    34006   29.19%           26       7775
   21789    64403    46713   25.28%           26       8103
   17222    49288    38753   25.89%           27       7272
   20933    61542    44310   25.38%           27       7512
   23118    63958    47526   26.55%           27       7837
   17423    51035    40858   25.45%           27       7413
   15440    56558    45726   21.45%           27       7642
   43921    85872    79252   33.84%           27       7473
   25715    20674    15077   55.43%           27       7576
   27455    21068    16823   56.58%           27       7683
   26889    17313    16581   60.83%           27       7775
   28219    16720    17114   62.79%           27       7866
   28710    17316    17976   62.38%           27       7960
   28196    15565    17619   64.43%           27       8046
   29424    16022    17984   64.74%           27       8136
   29165    15226    18300   65.70%           27       8223
   30262    15112    18567   66.69%           27       8311
   91964    14685    22183   86.23%           27       8399
   32100    15304    18997   67.72%           27       8489
   30128    14591    18827   67.37%           27       8575
    2921    43866    48817    6.24%           27       8893
   28713    62216    48205   31.58%           27       8045
   45139    65080    48503   40.95%           27       8317
   48801    56739    50179   46.24%           27       8561
   47717    52774    51433   47.48%           27       8800
   48381    49318    50743   49.52%           27       9017
   35696    18757    21251   65.55%            1       7149
   31744     1861      668   94.46%            2        382

Script done on 2025-11-14 13:37:01+00:00 [COMMAND_EXIT_CODE="143"]
