Script started on 2025-11-14 13:29:46+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
   16630    68806    55218   19.46%           28       8721
   46902    62477    58013   42.88%           28       9002
   18236    62645    56589   22.55%           28       9240
   14299    68174    52844   17.34%           28       9535
    6870    74806    50334    8.41%           28       9846
   10229    73032    51398   12.29%           28      10218
    8387    50754    39500   14.18%           28       8412
    9505    66887    48653   12.44%           28       8685
       0    75855    89297    0.00%           28       9342
   15905    78804    63139   16.79%           28       7718
   12016    66067    47248   15.39%           28       7981
   42792    73383    54745   36.83%           28       8360
    9740    64514    45879   13.12%           28       7988
   12293    65913    48312   15.72%           28       8256
   12667    66917    48527   15.92%           28       8531
    9568    62520    46655   13.27%           28       8216
   12570    63113    46552   16.61%           28       8468
   10569    67221    48202   13.59%           28       8744
   10920    66119    49070   14.17%           28       9030
   43239    64520    48550   40.13%           28       9294
       0    99169    87850    0.00%           29       9287
       0    73473    66192    0.00%           29       8437
   13229    62947    42669   17.37%           29       8178
   21258    70997    51648   23.04%           29       8480
   21581    68339    52937   24.00%           29       8777
   18274    67221    54441   21.37%           29       9072
   19219    74118    56634   20.59%           29       9410
   19313    62924    55486   23.48%           29       9692
   17629    64687    56059   21.42%           29       9985
   80627    60636    59840   57.08%           29      10266
   20997    57239    54995   26.84%           29      10502
    7865    65624    64228   10.70%           29      10830
       0    68564   100451    0.00%           29      11276
   11922    60321    44175   16.50%           29       8593
    8878    71670    50729   11.02%           29       8955
    9319    65185    47143   12.51%           29       9216
    6455    63403    45860    9.24%           29       9111
    7097    69393    48019    9.28%           29       9393
    5153    61005    45397    7.79%           29       8683
   72389    67140    48359   51.88%           29       8953
   18694    58819    43533   24.12%           30       8678
    6843    68102    49239    9.13%           30       9025
    7813    65155    46929   10.71%           30       9287
       0    74156    75242    0.00%           30       9786
       0    70630    83475    0.00%           30       9076
   10415    67791    47738   13.32%           30       9254
   11608    68617    48736   14.47%           30       9602
   11994    68554    48470   14.89%           30       9881
   39730    56628    43722   41.23%           30       8992
   44775    63034    46615   41.53%           30       9245
   12153    66079    49232   15.53%           30       9534
   11681    59766    45572   16.35%           30       9327
   11960    65584    48588   15.42%           30       9595
   11076    62601    47715   15.03%           30       9408
   11193    62783    48543   15.13%           30       9663
       0    72554    91814    0.00%           30      10266
       0    76594    64582    0.00%           30       9303
   44267    68076    52508   39.40%           30       9651
   13608    60922    42959   18.26%           30       9607
   49287    70366    52451   41.19%           30       9624
   18791    68514    54748   21.52%           30       9925
   26013    33794    28272   43.49%            1       8818
      16        0      651  100.00%            1       1935
    1661      347      663   82.72%            2        360

Script done on 2025-11-14 13:33:34+00:00 [COMMAND_EXIT_CODE="143"]
